"sbj_ID","Age","Gender","Education","L1","L2","L3","L4","otherLs","task","AoAL1","AoAL2","AoAL3","AoAL4","AttentionL1","AttentionL2","AttentionL3","AttentionL4","HistoryL1Score","HistoryL2Score","HistoryL3Score","HistoryL4Score","UseL1Score","UseL2Score","UseL3Score","UseL4Score","ProficiencyL1Score","ProficiencyL2Score","ProficiencyL3Score","ProficiencyL4Score","AttitudeL1Score","AttitudeL2Score","AttitudeL3Score","AttitudeL4Score","L1Score","L2Score","L3Score","L4Score","AoEaseL1","AoEaseL2","yearsEduL1","yearsEduL2","yearsCountryL1","yearsCountryL2","yearsFamilyL1","yearsFamilyL2","yearsWorkL1","yearsWorkL2","PercFriendsL1","PercFriendsL2","PercFamilyL1","PercFamilyL2","PercWorkL1","PercWorkL2","PercSelfL1","PercSelfL2","PercCountL1","PercCountL2","ProfSpeakL1","ProfSpeakL2","ProfUnderstandL1","ProfUnderstandL2","ProfReadL1","ProfReadL2","ProfWriteL1","ProfWriteL2","AttSelfL1","AttSelfL2","AttCultureL1","AttCultureL2","AttNativeLevelL1","AttNativeLevelL2","AttMothertongueL1","AttMothertongueL2","AoEaseL3","AoEaseL4","yearsEduL3","yearsEduL4","yearsCountryL3","yearsCountryL4","yearsFamilyL3","yearsFamilyL4","yearsWorkL3","yearsWorkL4","PercFriendsL3","PercFriendsL4","PercFamilyL3","PercFamilyL4","PercWorkL3","PercWorkL4","PercSelfL3","PercSelfL4","PercCountL3","PercCountL4","ProfSpeakL3","ProfSpeakL4","ProfUnderstandL3","ProfUnderstandL4","ProfReadL3","ProfReadL4","ProfWriteL3","ProfWriteL4","AttSelfL3","AttSelfL4","AttCultureL3","AttCultureL4","AttNativeLevelL3","AttNativeLevelL4","AttMothertongueL3","AttMothertongueL4","RC1_L3","RC9_L4","RC2_use_L1vsL2","RC8_hist_L2","RC3_prof_L2","var","ent","use_ent","multiexp","L1_L2_diff","cossim","use_cossim","category","script"
"5aa787c66219a30001c765f8",24,"Man","College","Polish","English","n/a","n/a","no","BLP",20,8,NA,NA,"true","true","","",47.67,10.442,0,0,44.69,9.81,0,0,54.48,40.86,0,0,24.97,34.05,0,0,171.81,95.162,0,0,20,0,20,12,20,2,20,0,5,1,8,2,10,0,7,3,6,4,10,0,6,4,6,5,6,6,6,3,6,5,2,4,3,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.861792997289999,-0.299047666428716,-0.240366219403226,-1.07149968256759,0.0878430160979389,6918.656716,0.939696368426145,0.68007704572828,266.972,76.648,0.961171010636259,0.842271400661511,"bi","same"
"5ae5db897edeb000014a85ee",24,"Woman","Masters","Portuguese","English","n/a","n/a","no","BLP",20,9,NA,NA,"true","true","","",42.676,9.988,0,0,39.24,15.26,0,0,54.48,49.94,0,0,54.48,36.32,0,0,190.876,111.508,0,0,20,6,12,6,20,0,20,0,2,1,9,1,10,0,0,10,8,2,9,1,6,5,6,5,6,6,6,6,6,4,6,2,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.10507719997706,-0.285615964977047,0.553850090244608,-1.28310735342091,0.743629818607824,8669.55352533334,0.949717474332545,0.855450810560131,302.384,79.368,0.967237092246615,0.915315032422766,"bi","same"
"5b212164cfbf200001cfb3ad",25,"Man","College","Portuguese","English","n/a","n/a","n/a","BLP",20,16,NA,NA,"true","true","","",50.848,15.89,0,0,44.69,9.81,0,0,54.48,52.21,0,0,49.94,54.48,0,0,199.958,132.39,0,0,20,8,12,10,20,0,20,0,20,1,9,1,10,0,7,3,7,3,8,2,6,5,6,6,6,6,6,6,6,6,4,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19320870969638,-0.22535586489358,-0.308333800186708,-0.567716769243952,0.55600642916467,9965.505196,0.969975741610782,0.68007704572828,332.348,67.568,0.979952900989822,0.842271400661511,"bi","same"
"5b213220809d160001a2c36d",24,"Other","MinusCollege","Italian","English","French","Spanish","No","BLP",20,14,9,6,"true","true","true","true",42.222,19.976,9.534,6.81,47.96,6.54,10.9,0,54.48,52.21,31.78,31.78,27.24,40.86,13.62,13.62,171.902,119.586,65.834,52.21,20,14,13,16,20,0,20,0,0,0,8,2,10,0,7,3,9,1,10,0,6,5,6,6,6,6,6,6,3,6,3,3,3,6,3,3,4,4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,5,3,3,3,3,3,3,0,0,0,0,0.744870803899229,1.18860703454204,-1.17298344027688,-0.183922743917062,1.0019388654345,2993.99796666667,1.84703384033873,1.09115647605449,409.532,52.316,0.907510313687615,0.761019434147762,"quadri","same"
"5bcd11401662020001fe82c1",25,"Man","MinusCollege","Italian","English","n/a","n/a","no","BLP",20,12,NA,NA,"true","true","","",42.222,15.436,0,0,44.69,9.81,0,0,54.48,49.94,0,0,54.48,38.59,0,0,195.872,113.776,0,0,20,6,13,16,20,0,20,0,0,0,8,2,10,0,6,4,8,2,9,1,6,5,6,6,6,6,6,5,6,4,6,3,6,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.10252609502003,-0.238256096784914,-0.266657869365946,-0.511590342430246,0.768896956060369,9113.44919466667,0.948683470963246,0.68007704572828,309.648,82.096,0.966604493958147,0.842271400661511,"bi","same"
"5c19254b0b9f6b00014769ee",22,"Man","PlusCollege","Portuguese","English","n/a","n/a","n/a","BLP",20,17,NA,NA,"true","true","","",42.222,28.148,0,0,45.78,8.72,0,0,54.48,52.21,0,0,54.48,34.05,0,0,196.962,123.128,0,0,20,12,12,12,20,0,20,20,1,1,9,1,8,2,10,0,5,5,10,0,6,5,6,6,6,6,6,6,6,6,6,6,6,3,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06399798552461,-0.225526483388607,-0.592644592994573,0.902806696802049,1.07643740362788,9446.710601,0.961271468438294,0.634309554640566,320.09,73.834,0.974413150224854,0.826926502069528,"bi","same"
"5c1bfabab0fcc900019d9ff4",25,"Woman","Masters","Portuguese","English","Spanish","n/a","no","BLP",20,15,14,NA,"true","true","true","",51.756,17.252,10.896,0,42.51,11.99,9.81,0,54.48,52.21,18.16,0,54.48,47.67,15.89,0,203.226,129.122,54.756,0,20,11,14,11,20,0,20,0,20,1,6,4,9,1,7,3,7,3,10,0,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,3,10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,4,NA,4,NA,0,NA,0,NA,6,NA,1,NA,0,NA,0.432122262429473,-0.677958384371527,0.110638204526711,-0.469892673999222,0.436051452613557,7836.380264,1.41552409078639,1.26037594167339,387.104,74.104,0.905114514919278,0.820632562285241,"tri","same"
"5caccaed2f93d700157b4782",25,"Man","HighSchool","Portuguese","English","Spanish","n/a","No","BLP",20,12,9,NA,"true","true","true","",44.492,17.252,5.448,0,44.69,9.81,10.9,0,52.21,47.67,18.16,0,54.48,34.05,4.54,0,195.872,108.782,39.048,0,20,12,15,11,20,0,20,0,3,3,8,2,10,0,5,5,9,1,9,1,6,4,6,6,6,6,5,5,6,3,6,0,6,6,6,6,0,NA,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,NA,3,NA,2,NA,1,NA,0,NA,2,NA,0,NA,0,NA,0.632962254707833,-0.570072650276667,-0.259224123152976,-0.244660213093634,0.397919157294796,7397.11467033333,1.34411309133421,1.21675329308859,343.702,87.09,0.96148558999274,0.802787838498595,"tri","same"
"5cbe02ab39447e0001745a5e",23,"Man","PlusCollege","Greek","English","n/a","n/a","n/a","BLP",20,15,NA,NA,"true","true","","",54.48,16.798,0,0,54.5,0,0,0,54.48,43.13,0,0,54.48,0,0,0,217.94,59.928,0,0,20,11,20,10,20,0,20,0,20,1,10,0,10,0,10,0,10,0,10,0,6,5,6,5,6,6,6,3,6,0,6,0,6,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05381706407655,-0.0706230743021252,-0.885222115391584,0.43211880081601,1.00147720178764,10595.517476,0.752183258223048,0,277.868,158.012,0.869278521299757,1,"bi","mixed/diff"
"5cefe8856e0eec00015971dd",23,"Man","Masters","Portuguese","English","n/a","n/a","No","BLP",20,16,NA,NA,"true","true","","",51.756,15.89,0,0,43.6,10.9,0,0,54.48,52.21,0,0,54.48,38.59,0,0,204.316,117.59,0,0,20,10,14,8,20,0,20,0,20,1,9,1,10,0,6,4,5,5,10,0,6,5,6,6,6,6,6,6,6,3,6,3,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18701686378747,-0.21155994722298,0.0381949288461305,-0.462606882677759,0.885121219431134,9888.85591566667,0.946989227603411,0.721928094887362,321.906,86.726,0.965571318066818,0.857492925712544,"bi","same"
